state,sex,year,name,count
OH,F,1973,Frances,39
UT,M,2008,Keaton,25
CA,M,1971,Robert,4616
ID,F,1958,Lori,79
IN,M,1965,Michael,2029
GA,M,1991,Lonnie,23
IN,F,1989,Leeann,5
AZ,F,1942,Angelina,6
WA,M,1919,Yoshio,6
CO,M,1939,Lloyd,32
NC,M,2011,Maxton,18
WI,F,1968,Donna,153
OK,F,1997,Margaret,15
PA,F,1948,Mariann,15
TX,F,1975,Graciela,84
CA,M,1990,Hien,5
UT,M,1966,Jonathan,32
MA,M,1976,Mark,456
LA,F,1991,Mollie,8
AL,M,1990,Brooks,6
WY,M,1991,Todd,5
MS,F,1957,Ernestine,12
PA,M,1969,August,9
PA,F,2006,Kierstin,5
ME,M,1975,Donald,46
NY,F,1957,Rosalie,69
MA,M,1921,Sherwood,5
MI,F,1966,Shelley,163
FL,F,2010,Calleigh,9
UT,M,1961,Marc,13
IL,F,1972,Starla,5
NC,F,1971,Wendy,447
TX,F,2017,Lacy,13
NY,M,1950,Moishe,9
MS,M,1970,Larry,181
ID,F,1924,Ella,19
TN,M,1953,Grover,5
DC,M,1961,George,128
OK,M,1929,Nathan,9
IN,F,1945,Elizabeth,188
WA,F,1992,Katelynn,25
WI,F,2013,Johanna,7
GA,F,1998,Ruth,24
HI,F,2000,Malia,29
OK,F,2016,Cameron,12
PA,M,1962,Alfonso,10
MN,F,1969,Rachael,18
WI,F,1949,Janet,297
MO,F,2005,Madyson,20
ME,F,1944,Madeline,8
KY,M,1920,Quentin,17
TN,M,1949,Clark,16
SC,F,1941,Jessie,107
MS,M,1986,Patrick,135
CA,F,1920,Avis,8
MI,F,1920,Wava,5
TX,M,1970,Anastacio,7
PA,M,1983,Randal,9
FL,M,2003,Brooks,8
WA,M,2001,Esteban,13
TN,F,1972,Consuela,5
MS,F,1994,Tyler,6
TX,F,2002,Ariadne,11
FL,M,1925,Clifford,62
MA,F,1965,Kerin,6
TX,F,1997,Aaleyah,5
PA,F,1965,Fawn,8
NY,F,1967,Lucia,35
KS,F,2010,Joy,7
IN,F,1918,Nadine,9
