state,geoid,ansi_code,name,legal_stat_area_desc,functional_status,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AL,0100100,2582661,Abanda CDP,57,S,7764034,34284,2.998,0.013000000000000001,33.091627,-85.527029,2017
AL,0100124,2403054,Abbeville city,25,A,40255362,107642,15.543,0.042,31.564689,-85.259124,2017
AL,0100460,2403063,Adamsville city,25,A,65211854,14122,25.178,0.005,33.605748,-86.974649,2017
AL,0100484,2405123,Addison town,43,A,9753292,83417,3.766,0.032,34.202681,-87.178004,2017
AL,0100676,2405125,Akron town,43,A,1776163,13849,0.6859999999999999,0.005,32.879495,-87.741679,2017
AL,0100820,2403069,Alabaster city,25,A,65217462,806150,25.180999999999997,0.311,33.226936,-86.761015,2017
AL,0100988,2403074,Albertville city,25,A,68731809,258708,26.538,0.1,34.26313,-86.21066,2017
AL,0101132,2403077,Alexander City city,25,A,108761846,739527,41.993,0.28600000000000003,32.927240000000005,-85.937122,2017
AL,0101180,2402638,Alexandria CDP,57,S,28834974,33099,11.133,0.013000000000000001,33.760819,-85.872008,2017
AL,0101228,2403080,Aliceville city,25,A,11819855,0,4.564,0.0,33.123686,-88.159364,2017
AL,0101396,2405136,Allgood town,43,A,2690288,1452,1.0390000000000001,0.001,33.907623,-86.516109,2017
AL,0101660,2405146,Altoona town,43,A,11193370,25442,4.322,0.01,34.040014,-86.30517900000001,2017
AL,0101708,2403097,Andalusia city,25,A,50911856,405912,19.657,0.157,31.309435999999998,-86.478031,2017
AL,0101756,2405149,Anderson town,43,A,3347216,1520,1.2919999999999998,0.001,34.915675,-87.274274,2017
AL,0101852,2403101,Anniston city,25,A,118096995,179314,45.598,0.069,33.673435,-85.810937,2017
AL,0102116,2403104,Arab city,25,A,34345826,346373,13.261,0.134,34.332387,-86.50116700000001,2017
AL,0102260,2405163,Ardmore town,43,A,5289895,21830,2.042,0.008,34.987838,-86.829022,2017
AL,0102320,2405164,Argo town,43,A,27893577,150331,10.77,0.057999999999999996,33.691576,-86.503766,2017
AL,0102428,2405166,Ariton town,43,A,13182489,0,5.09,0.0,31.597771999999996,-85.713061,2017
AL,0102500,2405167,Arley town,43,A,9740655,33989,3.761,0.013000000000000001,34.076234,-87.217831,2017
