state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AZ,0400082,Colorado River Union High School District,9,12,2711174277,74672820,1046.79,28.831,35.105214000000004,-114.46783400000001,2017
AZ,0400450,Agua Fria Union High School District,9,12,244640927,740286,94.456,0.28600000000000003,33.481427000000004,-112.407871,2017
AZ,0400720,Antelope Union High School District,9,12,7937907675,3400,3064.843,0.001,32.992049,-113.81737199999999,2017
AZ,0401160,Bicentennial Union High School District,9,12,9842286607,22988821,3800.1279999999997,8.876,33.669497,-113.95215300000001,2017
AZ,0401410,Buckeye Union High School District,9,12,3167017465,214246,1222.792,0.083,33.319899,-112.81179399999999,2017
AZ,0401740,Casa Grande Union High School District,9,12,3365221721,1173327,1299.319,0.45299999999999996,32.839153,-111.920895,2017
AZ,0403450,Glendale Union High School District,9,12,153780181,412965,59.375,0.159,33.574317,-112.135194,2017
AZ,0405070,Mingus Union High School District,9,12,1320301120,401767,509.77099999999996,0.155,34.835063,-112.083898,2017
AZ,0406030,Patagonia Union High School District,9,12,1795991591,1646872,693.436,0.636,31.547287,-110.67995800000001,2017
AZ,0406330,Phoenix Union High School District,9,12,449287187,1959449,173.47099999999998,0.757,33.440865,-112.099026,2017
AZ,0407530,Santa Cruz Valley Union High School District,9,12,1857316270,3443533,717.1139999999999,1.33,32.643001,-111.43709799999999,2017
AZ,0408340,Tempe Union High School District,9,12,428732062,2511984,165.53400000000002,0.97,33.3112,-111.983539,2017
AZ,0408520,Tolleson Union High School District,9,12,264923253,636237,102.287,0.24600000000000002,33.41192,-112.274378,2017
AZ,0408910,Valley Union High School District,9,12,1470351072,694059,567.706,0.268,31.865540000000003,-109.67003799999999,2017
AZ,0409630,Yuma Union High School District,9,12,6343357976,13167916,2449.1839999999997,5.084,32.529507,-114.00489099999999,2017
CA,0601650,Acalanes Union High School District,9,12,204891530,4415415,79.109,1.705,37.877215,-122.12885800000001,2017
CA,0602630,Anaheim Union High School District,7,12,104807900,446905,40.467,0.17300000000000001,33.827317,-117.962154,2017
CA,0602670,West Sonoma County Union High School District,9,12,835756695,195335944,322.687,75.42,38.484584999999996,-123.085885,2017
CA,0602700,Anderson Union High School District,9,12,615542075,7170104,237.662,2.7680000000000002,40.44312,-122.31563600000001,2017
CA,0602820,Antelope Valley Union Joint High School District,9,12,3597857714,18975393,1389.141,7.3260000000000005,34.654884,-118.149919,2017
CA,0603030,Northern Humboldt Union High School District,9,12,1820678216,34077091,702.9680000000001,13.157,40.97322,-123.908635,2017
CA,0605820,Brawley Union High School District,9,12,2029246030,198658273,783.4960000000001,76.702,33.085903,-115.679199,2017
CA,0605940,Bret Harte Union High School District,9,12,1101583208,13449992,425.324,5.193,38.147844,-120.46516000000001,2017
CA,0606001,Yosemite Unified School District in Bass Lake,9,12,721619457,4871530,278.619,1.881,37.416909999999994,-119.599098,2017
CA,0606002,Yosemite Unified School District in Raymond-Knowles,9,12,502931733,11866102,194.183,4.582,37.173707,-119.903081,2017
CA,0606003,Twin Rivers Unified School District in Elverta,9,12,64094764,36883,24.747,0.013999999999999999,38.739206,-121.48065700000001,2017
CA,0606004,Twin Rivers Unified School District in Robla,7,12,25662728,0,9.908,0.0,38.655109,-121.447322,2017
