state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AL,0100001,Fort Rucker School District,KG,12,233007250,2735224,89.965,1.056,31.409737,-85.745807,2017
AL,0100003,Maxwell AFB School District,KG,12,8446722,566857,3.261,0.21899999999999997,32.380944,-86.363749,2017
AL,0100005,Albertville City School District,KG,12,68731809,258708,26.538,0.1,34.26313,-86.21066,2017
AL,0100006,Marshall County School District,PK,12,1267145952,103642465,489.24800000000005,40.016999999999996,34.373896,-86.344229,2017
AL,0100007,Hoover City School District,KG,12,121645715,2565469,46.968,0.991,33.376948999999996,-86.80557900000001,2017
AL,0100008,Madison City School District,PK,12,76658173,342332,29.598000000000003,0.132,34.710533,-86.76228,2017
AL,0100011,Leeds City School District,KG,12,58231611,566100,22.483,0.21899999999999997,33.546851000000004,-86.57178,2017
AL,0100012,Boaz City School District,PK,12,37683447,161880,14.55,0.063,34.199020000000004,-86.155151,2017
AL,0100013,Trussville City School District,KG,12,86093672,985691,33.241,0.381,33.655407000000004,-86.563109,2017
AL,0100030,Alexander City City School District,KG,12,246657202,43855967,95.235,16.933,32.869021999999994,-85.951083,2017
AL,0100060,Andalusia City School District,KG,12,50911856,405912,19.657,0.157,31.309435999999998,-86.478031,2017
AL,0100090,Anniston City School District,PK,12,118096995,179314,45.598,0.069,33.673435,-85.810937,2017
AL,0100100,Arab City School District,PK,12,34345826,346373,13.261,0.134,34.332387,-86.50116700000001,2017
AL,0100120,Athens City School District,KG,12,103236669,665559,39.86,0.257,34.779021,-86.950799,2017
AL,0100180,Attalla City School District,PK,12,18079282,0,6.98,0.0,33.986189,-86.121037,2017
AL,0100185,Saraland City School District,KG,12,79466398,569974,30.682,0.22,30.854574,-88.10990600000001,2017
AL,0100188,Chickasaw City School District,PK,12,10894952,908483,4.207,0.35100000000000003,30.77145,-88.079697,2017
AL,0100189,Satsuma City School District,PK,12,18995519,122488,7.334,0.047,30.857874,-88.063383,2017
AL,0100190,Alabaster City School District,KG,12,65217462,806150,25.180999999999997,0.311,33.226936,-86.761015,2017
AL,0100194,Pelham City School District,KG,12,100371653,1311244,38.754,0.506,33.32183,-86.74219699999999,2017
AL,0100210,Auburn City School District,PK,12,152390480,2646160,58.838,1.022,32.607721999999995,-85.48954499999999,2017
AL,0100240,Autauga County School District,KG,12,1539614693,25744269,594.4490000000001,9.94,32.532237,-86.64644,2017
AL,0100270,Baldwin County School District,PK,12,4117605847,1133109409,1589.817,437.496,30.659218,-87.74606700000001,2017
AL,0100300,Barbour County School District,PK,12,2138001446,14382066,825.487,5.553,31.870253,-85.40510400000001,2017
AL,0100330,Bessemer City School District,PK,12,104993277,433920,40.538000000000004,0.168,33.370789,-86.971568,2017
AL,0100360,Bibb County School District,KG,12,1612165763,9603798,622.461,3.708,33.015893,-87.12714799999999,2017
AL,0100390,Birmingham City School District,PK,12,378193305,6593182,146.02100000000002,2.546,33.527444,-86.799047,2017
AL,0100420,Blount County School District,PK,12,1629283852,14889905,629.07,5.749,33.977358,-86.56644,2017
AL,0100450,Brewton City School District,KG,12,29044814,609964,11.214,0.23600000000000002,31.109175,-87.076583,2017
AL,0100480,Bullock County School District,KG,12,1613059168,6054988,622.806,2.338,32.101759,-85.717261,2017
AL,0100510,Butler County School District,PK,12,2011985458,2718248,776.832,1.05,31.751666999999998,-86.681969,2017
AL,0100540,Calhoun County School District,PK,12,1227211607,13906688,473.829,5.369,33.779208000000004,-85.842799,2017
AL,0100600,Chambers County School District,PK,12,1528841682,17048126,590.289,6.582000000000001,32.915504,-85.394032,2017
AL,0100630,Cherokee County School District,PK,12,1434228753,119702920,553.759,46.218,34.176127,-85.618196,2017
AL,0100660,Chilton County School District,PK,12,1794478905,20590301,692.852,7.95,32.854051,-86.726607,2017
AL,0100690,Choctaw County School District,KG,12,2365869837,19144469,913.467,7.392,31.990954,-88.248889,2017
AL,0100720,Clarke County School District,PK,12,2933540872,36488093,1132.647,14.088,31.664937,-87.829263,2017
AL,0100750,Clay County School District,KG,12,1564253513,5283523,603.962,2.04,33.2704,-85.863525,2017
AL,0100780,Cleburne County School District,PK,12,1323790177,2135809,511.11800000000005,0.825,33.650489,-85.521959,2017
AL,0100810,Coffee County School District,PK,12,1402736528,2357540,541.6,0.91,31.394112,-85.992594,2017
AL,0100840,Colbert County School District,PK,12,1451453912,79638813,560.41,30.749000000000002,34.704012,-87.813037,2017
AL,0100870,Conecuh County School District,PK,12,2201948618,6643480,850.177,2.565,31.430926,-86.988722,2017
