geoid,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
00601,166659745,799293,64.348,0.309,18.180555,-66.749961,2017
00602,79307535,4428428,30.621,1.71,18.361945000000002,-67.175597,2017
00603,81884707,183895,31.616,0.071,18.455182999999998,-67.119887,2017
00606,109579998,12487,42.309,0.005,18.158345,-66.932911,2017
00610,93013427,4172060,35.913000000000004,1.611,18.295366,-67.125135,2017
00612,175065129,9790062,67.593,3.78,18.402252999999998,-66.71139699999999,2017
00616,29862710,149156,11.53,0.057999999999999996,18.420412,-66.67197900000001,2017
00617,39355368,3980436,15.195,1.537,18.445147,-66.559696,2017
00622,75090747,1694880,28.993000000000002,0.654,17.991245000000003,-67.153993,2017
00623,98351688,1633538,37.974000000000004,0.631,18.083361,-67.153897,2017
00624,111794959,2525012,43.163999999999994,0.975,18.064919,-66.71668299999999,2017
00627,120058280,3507026,46.355,1.354,18.4126,-66.863926,2017
00631,10414671,669972,4.021,0.259,18.190607,-66.832041,2017
00637,89222632,25323,34.449,0.01,18.076713,-66.947389,2017
00638,171055430,493328,66.045,0.19,18.295913,-66.515588,2017
00641,242243035,3460662,93.531,1.3359999999999999,18.263085,-66.712985,2017
00646,53682639,3250520,20.726999999999997,1.255,18.43315,-66.285875,2017
00647,39379846,8013314,15.205,3.094,17.963613,-66.94712700000001,2017
00650,79052757,557193,30.522,0.215,18.349417000000003,-66.578078,2017
00652,17915345,15537,6.917000000000001,0.006,18.448452,-66.594127,2017
00653,39477267,5203941,15.242,2.009,17.985032999999998,-66.88653599999999,2017
00656,83954600,4355104,32.415,1.682,18.053539,-66.79293100000001,2017
00659,108213684,3036871,41.782,1.173,18.407226,-66.808999,2017
00660,29384893,481,11.345999999999998,0.0,18.134695,-67.116199,2017
00662,114927977,5321070,44.373999999999995,2.0540000000000003,18.468320000000002,-67.015781,2017
00664,117897682,3091,45.521,0.001,18.21033,-66.591616,2017
00667,156212330,28250306,60.31399999999999,10.908,18.003422,-67.03581,2017
00669,159419187,168344,61.552,0.065,18.277102,-66.86964499999999,2017
00670,118025319,357845,45.57,0.138,18.240187,-66.988776,2017
00674,116433923,6871698,44.955,2.653,18.422908,-66.489337,2017
00676,130630343,56474,50.437,0.022000000000000002,18.377637,-67.079574,2017
00677,37137333,3594733,14.339,1.3880000000000001,18.332568,-67.22702199999999,2017
00678,68274014,3796760,26.361,1.466,18.434099,-66.927384,2017
00680,166308133,19820070,64.212,7.653,18.178225,-67.151514,2017
00682,37304297,6321605,14.402999999999999,2.441,18.221464,-67.156039,2017
00683,135165044,29360,52.188,0.011000000000000001,18.1078,-67.037263,2017
00685,200808246,2058244,77.533,0.795,18.332929,-66.959689,2017
00687,100676181,139537,38.871,0.054000000000000006,18.319026,-66.42055699999999,2017
00688,82408267,72551,31.818,0.027999999999999997,18.382310999999998,-66.626416,2017
00690,7292587,11145,2.8160000000000003,0.004,18.49551,-67.098671,2017
00692,69309238,1998420,26.76,0.772,18.410188,-66.336556,2017
00693,101849431,3643052,39.324,1.4069999999999998,18.422987,-66.397214,2017
00694,2070446,1957115,0.799,0.7559999999999999,18.482073,-66.391274,2017
00698,180312873,7761603,69.619,2.997,18.064848,-66.856319,2017
00703,76855347,28383,29.674,0.011000000000000001,18.248401,-66.130662,2017
00704,12627766,1773833,4.876,0.685,17.965770000000003,-66.219555,2017
00705,82748309,72304,31.949,0.027999999999999997,18.128961,-66.266683,2017
00707,54561539,3816672,21.066,1.474,18.014055,-65.920751,2017
00714,37863486,42739,14.619000000000002,0.017,18.003025,-66.046237,2017
00715,20381738,150234,7.869,0.057999999999999996,18.011232999999997,-66.56006500000001,2017
00716,22174335,7917756,8.562000000000001,3.057,17.991269,-66.606774,2017
00717,5443502,77761,2.102,0.03,18.003222,-66.614037,2017
00718,117171778,3457282,45.24,1.335,18.231988,-65.759623,2017
00719,72527847,898339,28.003,0.34700000000000003,18.289927,-66.25344,2017
00720,154382625,286519,59.607,0.111,18.217945999999998,-66.428076,2017
00723,119553976,1319679,46.16,0.51,18.043498,-66.015479,2017
00725,109358406,1174731,42.224,0.45399999999999996,18.218819,-66.042375,2017
00727,55676836,26958,21.497,0.01,18.215308,-66.073565,2017
00728,40524728,21618806,15.647,8.347000000000001,17.989853,-66.664116,2017
00729,87958822,364681,33.961,0.141,18.323585,-65.883206,2017
00730,16873937,108086,6.515,0.042,18.030831,-66.616838,2017
00731,123629346,2783085,47.733999999999995,1.075,18.109947000000002,-66.635622,2017
00735,60368950,1842361,23.309,0.711,18.252603,-65.68249399999999,2017
00736,142702105,78607,55.098,0.03,18.103624,-66.151667,2017
00738,76345227,78611066,29.476999999999997,30.351999999999997,18.308717,-65.738915,2017
00739,81792975,1113760,31.58,0.43,18.177232999999998,-66.160645,2017
00740,1103420,40886,0.426,0.016,18.331178,-65.63410400000001,2017
00741,6121388,2792488,2.363,1.078,18.163854999999998,-65.754042,2017
00745,133673062,6158136,51.611000000000004,2.378,18.352216000000002,-65.817387,2017
00751,121636224,29372082,46.964,11.341,18.001317,-66.252183,2017
00754,132164375,241723,51.028999999999996,0.09300000000000001,18.147107000000002,-65.976167,2017
00757,77265966,5590793,29.833000000000002,2.1590000000000003,17.995441,-66.391334,2017
00765,49309590,1749401,19.039,0.675,18.130095999999998,-65.439369,2017
00766,103701681,3739017,40.039,1.444,18.133195999999998,-66.476916,2017
00767,143501372,6804952,55.406000000000006,2.627,18.069489,-65.89616099999999,2017
00769,198169777,37652,76.514,0.015,18.1038,-66.357586,2017
00771,87591124,32509,33.819,0.013000000000000001,18.187148,-65.871189,2017
00772,37904340,13703591,14.635,5.291,18.438968,-65.905168,2017
00773,62966802,2572548,24.311999999999998,0.993,18.342888000000002,-65.723109,2017
00775,27354047,33428554,10.561,12.907,18.326598999999998,-65.30771999999999,2017
00777,68844364,327694,26.581,0.127,18.224133,-65.90854200000001,2017
00778,76776790,1115818,29.644000000000002,0.431,18.264076,-65.97851,2017
00780,52112380,777901,20.121,0.3,18.102834,-66.568105,2017
00782,69008752,319738,26.644000000000002,0.12300000000000001,18.225707999999997,-66.221633,2017
00783,108367775,16284,41.841,0.006,18.303910000000002,-66.32617900000001,2017
00784,143875300,16278592,55.551,6.285,18.010714,-66.133615,2017
00786,666251,0,0.257,0.0,18.155424,-66.229907,2017
00791,95737500,2852902,36.964,1.102,18.136782,-65.821476,2017
00794,91419778,77812,35.297,0.03,18.198954999999998,-66.309833,2017
00795,119806321,958175,46.257,0.37,18.060494,-66.500624,2017
00801,2875853,1354,1.11,0.001,18.349871,-64.974016,2017
00802,71671841,8928395,27.673000000000002,3.447,18.340709,-64.92332900000001,2017
00820,78982024,3075492,30.495,1.187,17.7431,-64.68655600000001,2017
00823,1035362,0,0.4,0.0,17.723548,-64.745932,2017
00824,57053,0,0.022000000000000002,0.0,17.744557,-64.68293299999999,2017
00830,50003826,374670,19.307000000000002,0.145,18.338559,-64.73653,2017
00831,119891,0,0.046,0.0,18.327294000000002,-64.78671999999999,2017
00840,48724800,22578,18.813,0.009000000000000001,17.678145,-64.902355,2017
00841,6600893,632642,2.549,0.244,17.758634,-64.817451,2017
00850,60060282,3028705,23.189,1.169,17.745949,-64.80055,2017
00851,19685283,71124,7.601,0.027000000000000003,17.732228,-64.77076,2017
00901,2535590,30548,0.9790000000000001,0.012,18.465369,-66.104613,2017
00906,8247,0,0.003,0.0,18.46446,-66.094995,2017
00907,3118632,347421,1.204,0.134,18.452552999999998,-66.077838,2017
00909,1580961,49304,0.61,0.019,18.44161,-66.067132,2017
00911,1232508,0,0.47600000000000003,0.0,18.451159,-66.05619899999999,2017
00912,862970,0,0.33299999999999996,0.0,18.445334,-66.060139,2017
00913,834840,0,0.322,0.0,18.450001999999998,-66.04265600000001,2017
00915,3616961,813349,1.3969999999999998,0.314,18.437179,-66.045571,2017
00917,3360010,46991,1.297,0.018000000000000002,18.420673999999998,-66.050105,2017
00918,5516959,101168,2.13,0.039,18.421022,-66.065789,2017
00920,7363192,106880,2.843,0.040999999999999995,18.414292,-66.088042,2017
00921,6925339,0,2.674,0.0,18.392292,-66.088528,2017
00923,5285548,7301,2.041,0.003,18.409307000000002,-66.038888,2017
00924,12146991,1369,4.69,0.001,18.399192000000003,-66.01245300000001,2017
00925,1158082,0,0.447,0.0,18.400296,-66.050602,2017
00926,62578786,1047991,24.162,0.405,18.3454,-66.05154499999999,2017
00927,6803686,5830,2.627,0.002,18.388011,-66.072089,2017
00934,1940428,26786,0.7490000000000001,0.01,18.411313,-66.124234,2017
00936,417954,0,0.161,0.0,18.395463,-66.07377199999999,2017
00949,45535083,2112065,17.581,0.815,18.430695999999998,-66.21283299999999,2017
00950,6204979,1989343,2.396,0.768,18.459699,-66.233101,2017
00951,1075640,29541,0.415,0.011000000000000001,18.427529999999997,-66.253789,2017
00952,3204976,0,1.237,0.0,18.427448000000002,-66.18202600000001,2017
00953,69143779,1364965,26.697,0.527,18.360729,-66.251527,2017
00956,68564539,215367,26.473000000000003,0.083,18.321137,-66.170419,2017
00957,11967746,1407,4.621,0.001,18.368414,-66.18769300000001,2017
00959,16618004,81792,6.416,0.032,18.385785000000002,-66.155654,2017
00960,2366331,2485,0.914,0.001,18.416747,-66.144485,2017
00961,13404389,168929,5.175,0.065,18.413307,-66.164683,2017
00962,9888762,1121474,3.818,0.433,18.444614,-66.14881899999999,2017
00965,1746399,328905,0.674,0.127,18.433757,-66.114752,2017
