state,geoid,ansi_code,name,functional_status,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AL,0100190171,161593,Autaugaville CCD,S,478151753,13897907,184.615,5.3660000000000005,32.457413,-86.729003,2018
AL,0100190315,165647,Billingsley CCD,S,386865281,1575402,149.37,0.608,32.606138,-86.748985,2018
AL,0100192106,165648,Marbury CCD,S,292756940,516152,113.03399999999999,0.19899999999999998,32.638521999999995,-86.514873,2018
AL,0100192628,165649,Prattville CCD,S,381828149,9717500,147.425,3.752,32.479785,-86.506495,2018
AL,0100390207,161594,Bay Minette CCD,S,1338301481,27515243,516.721,10.624,30.809659000000003,-87.706187,2018
AL,0100390846,165650,Daphne CCD,S,297339608,142423998,114.803,54.99,30.667431,-87.90622900000001,2018
AL,0100390963,165651,Elberta CCD,S,316024412,47416178,122.01799999999999,18.307000000000002,30.406946,-87.518884,2018
AL,0100391053,165652,Fairhope CCD,S,170420229,195840128,65.8,75.61399999999999,30.466855,-87.91230300000001,2018
AL,0100391152,161595,Foley CCD,S,451267332,677294345,174.235,261.505,30.3586,-87.831463,2018
AL,0100392754,161596,Robertsdale CCD,S,442192249,4263788,170.731,1.646,30.556714000000003,-87.643188,2018
AL,0100393024,161597,Stockton CCD,S,971525691,37553395,375.108,14.499,31.110476000000002,-87.78687099999999,2018
AL,0100393042,165653,Summerdale CCD,S,130475674,748761,50.376999999999995,0.289,30.489698999999998,-87.67673,2018
AL,0100590189,165654,Bakerhill CCD,S,333700199,9997623,128.842,3.86,31.763417999999998,-85.271865,2018
AL,0100590630,165655,Clayton CCD,S,517006043,983621,199.61700000000002,0.38,31.922275,-85.449831,2018
AL,0100590648,165656,Clio CCD,S,343319538,397957,132.556,0.154,31.679443,-85.55771999999999,2018
AL,0100591017,161598,Eufaula CCD,S,745322164,38659527,287.77099999999996,14.927,32.000976,-85.243602,2018
AL,0100591989,165657,Louisville CCD,S,352796711,499970,136.216,0.193,31.790893,-85.567051,2018
AL,0100790531,161599,Centreville-Brent CCD,S,1001779845,4339466,386.789,1.675,32.931869,-87.14378,2018
AL,0100792601,165658,Piper-Coleanor CCD,S,194077684,2016669,74.934,0.779,33.065222999999996,-86.99663199999999,2018
AL,0100793438,165659,West Blocton CCD,S,416309952,3245954,160.738,1.253,33.120326,-87.136978,2018
AL,0100990333,165660,Blountsville CCD,S,249218475,1495355,96.22399999999999,0.5770000000000001,34.033623999999996,-86.63731800000001,2018
AL,0100990414,165661,Brooksville CCD,S,245105144,1295757,94.63600000000001,0.5,34.166034,-86.497174,2018
AL,0100990612,165662,Clarence CCD,S,189897980,494812,73.32,0.191,34.076531,-86.390499,2018
AL,0100990639,165663,Cleveland CCD,S,116476802,607001,44.972,0.23399999999999999,33.997434999999996,-86.544238,2018
AL,0100991557,165664,Hayden CCD,S,265735387,1560726,102.601,0.603,33.896246999999995,-86.812872,2018
AL,0100991953,165665,Locust Fork CCD,S,203716637,981315,78.655,0.379,33.840576,-86.635018,2018
AL,0100992439,165666,Oneonta CCD,S,399953486,8580457,154.423,3.313,33.904424,-86.46034300000001,2018
AL,0101191098,165667,Fitzpatrick CCD,S,348247049,2031215,134.459,0.784,32.167144,-85.904292,2018
AL,0101191701,165668,Inverness CCD,S,438087814,1443991,169.14700000000002,0.5579999999999999,31.977590000000003,-85.75089200000001,2018
AL,0101192133,165669,Midway CCD,S,428206375,492358,165.331,0.19,32.115727,-85.52673399999999,2018
AL,0101193249,165670,Union Springs CCD,S,398517922,2087424,153.869,0.8059999999999999,32.156702,-85.701532,2018
AL,0101390540,165671,Chapman CCD,S,352261684,177369,136.009,0.068,31.716324,-86.753322,2018
AL,0101391170,165672,Forest Home CCD,S,441481495,272087,170.457,0.105,31.861797999999997,-86.760811,2018
AL,0101391314,165673,Georgiana-McKenzie CCD,S,512664324,367569,197.94099999999997,0.142,31.592237,-86.70981,2018
AL,0101391422,165674,Greenville CCD,S,705595027,1884173,272.432,0.727,31.811964,-86.554606,2018
AL,0101590066,165679,Alexandria-Webster Chapel CCD,S,261413498,1801210,100.932,0.695,33.846742,-85.89133100000001,2018
AL,0101590099,161600,Anniston CCD,S,530225505,3275683,204.72099999999998,1.265,33.671051,-85.876956,2018
AL,0101590585,165675,Choccolocco CCD,S,239320470,2361684,92.402,0.912,33.738267,-85.68129300000001,2018
AL,0101591746,165676,Jacksonville CCD,S,184145095,555485,71.09899999999999,0.214,33.868108,-85.763933,2018
AL,0101592430,165677,Ohatchee CCD,S,177674798,7612736,68.601,2.9389999999999996,33.768762,-86.037283,2018
AL,0101592556,165678,Piedmont CCD,S,176410256,1020799,68.112,0.39399999999999996,33.917176,-85.639394,2018
AL,0101791107,165680,Five Points CCD,S,308236212,9374444,119.01100000000001,3.6189999999999998,33.037753,-85.332886,2018
AL,0101791818,165681,La Fayette CCD,S,468944198,2043727,181.06,0.789,32.893522999999995,-85.444009,2018
AL,0101791827,165682,Lanett CCD,S,168343502,2394793,64.998,0.925,32.889494,-85.26375,2018
AL,0101792169,165684,Milltown CCD,S,207455995,2142455,80.09899999999999,0.8270000000000001,33.043440000000004,-85.51456999999999,2018
AL,0101793272,165683,Valley CCD,S,184918314,442652,71.39699999999999,0.171,32.78641,-85.244134,2018
AL,0101793393,165685,Waverly CCD,S,207187386,573630,79.99600000000001,0.221,32.784893,-85.506282,2018
AL,0101990513,165686,Cedar Bluff-Gaylesville CCD,S,456976516,39961185,176.44,15.429,34.305264,-85.554226,2018
AL,0101990522,165687,Centre CCD,S,370015898,17222035,142.864,6.649,34.069515,-85.65424200000001,2018
AL,0101991854,165688,Leesburg CCD,S,233586205,33391878,90.18799999999999,12.892999999999999,34.199154,-85.757837,2018
AL,0101992983,165689,Spring Garden CCD,S,373044702,29733241,144.033,11.48,34.086172,-85.506889,2018
AL,0102190603,165690,Clanton CCD,S,218872882,3805220,84.507,1.469,32.852272,-86.60143000000001,2018
AL,0102191710,165691,Isabella-Pletcher CCD,S,260741585,395895,100.67299999999999,0.153,32.772729999999996,-86.73638100000001,2018
AL,0102191764,165692,Jemison CCD,S,335210715,1600950,129.42600000000002,0.618,32.975998,-86.78308100000001,2018
AL,0102192097,165693,Maplesville CCD,S,451101198,1388376,174.171,0.536,32.768987,-86.895464,2018
AL,0102192178,165694,Mineral Springs CCD,S,272143269,9055300,105.075,3.4960000000000004,32.97092,-86.606179,2018
AL,0102193285,165695,Verbena CCD,S,256407426,4346403,98.999,1.6780000000000002,32.759242,-86.52600000000001,2018
AL,0102390441,161601,Butler CCD,S,752715859,7297622,290.625,2.818,32.065663,-88.212848,2018
AL,0102391332,165696,Gilbertown-Toxey CCD,S,578524801,1887164,223.37,0.7290000000000001,31.927592999999998,-88.33263000000001,2018
AL,0102391908,165697,Lisman CCD,S,577250754,4206989,222.878,1.624,32.274176000000004,-88.215041,2018
AL,0102392925,165698,Silas CCD,S,457378421,5752694,176.595,2.221,31.759107,-88.301664,2018
AL,0102590675,165699,Coffeeville CCD,S,370157637,7618310,142.91899999999998,2.9410000000000003,31.839165,-88.057935,2018
AL,0102591260,165700,Fulton CCD,S,249009554,71854,96.14299999999999,0.027999999999999997,31.792901,-87.642515,2018
AL,0102591440,161602,Grove Hill CCD,S,832713970,4900838,321.513,1.892,31.617016999999997,-87.69797700000001,2018
AL,0102591726,165701,Jackson CCD,S,483747171,5750736,186.77599999999998,2.22,31.619137,-87.91873199999999,2018
AL,0102593132,161604,Thomasville CCD,S,682977987,258310,263.699,0.1,31.885609999999996,-87.835098,2018
AL,0102593362,161603,Walker Springs CCD,S,588887792,18057843,227.37099999999998,6.972,31.397109999999998,-87.81891999999999,2018
AL,0102790126,165702,Ashland CCD,S,562682285,1906571,217.253,0.736,33.218176,-85.786307,2018
AL,0102791899,165703,Lineville CCD,S,513044396,1904092,198.088,0.735,33.387278,-85.769061,2018
AL,0102792142,165704,Millerville-Hollins CCD,S,488525154,1474544,188.62099999999998,0.569,33.177532,-86.02161,2018
AL,0102991251,165705,Fruithurst CCD,S,491578073,461737,189.799,0.17800000000000002,33.820759,-85.472323,2018
AL,0102991593,161605,Heflin CCD,S,662721893,1548058,255.878,0.598,33.60759,-85.608638,2018
AL,0102992682,165706,Ranburne CCD,S,296363974,345101,114.427,0.133,33.572983,-85.396107,2018
AL,0103190954,165707,Elba CCD,S,411066966,1565979,158.714,0.605,31.415484000000003,-86.08144899999999,2018
AL,0103190999,165708,Enterprise CCD,S,554630290,640184,214.144,0.247,31.35936,-85.8693,2018
AL,0103191341,165709,Goodman CCD,S,213566268,808106,82.458,0.312,31.255471000000004,-86.02879399999999,2018
AL,0103191719,165710,Jack CCD,S,242947838,108904,93.803,0.042,31.562946999999998,-86.056315,2018
AL,0103191800,165711,Kinston CCD,S,128037014,606115,49.435,0.23399999999999999,31.272190999999996,-86.150624,2018
AL,0103193303,165712,Victoria CCD,S,208317549,177901,80.432,0.069,31.537584000000003,-85.898401,2018
AL,0103390567,161606,Cherokee CCD,S,629707104,39544455,243.13099999999997,15.267999999999999,34.722246000000005,-88.01280799999999,2018
AL,0103391863,165713,Leighton CCD,S,334201531,21872364,129.036,8.445,34.699953,-87.522976,2018
AL,0103391926,165714,Littleville CCD,S,392205816,8070014,151.43200000000002,3.116,34.651461,-87.788504,2018
AL,0103393186,165715,Tri-Cities CCD,S,179087870,10213444,69.146,3.943,34.726581,-87.64274,2018
AL,0103590504,165716,Castleberry CCD,S,480645395,3005403,185.578,1.16,31.341110999999998,-87.038746,2018
AL,0103591044,165717,Evergreen CCD,S,541455828,1988536,209.05700000000002,0.768,31.373364000000002,-86.855205,2018
AL,0103592016,161607,Lyeffion CCD,S,564125375,607402,217.81,0.235,31.591407,-87.003548,2018
AL,0103592718,165718,Repton CCD,S,391518627,783169,151.166,0.302,31.356576,-87.24294300000001,2018
AL,0103592916,165719,Shreve CCD,S,224262629,247536,86.588,0.096,31.431040999999997,-86.74107,2018
AL,0103791350,165720,Goodwater-Kellyton CCD,S,251399770,1592479,97.066,0.615,32.992929,-86.073879,2018
AL,0103792763,165721,Rockford CCD,S,649873003,14725427,250.917,5.686,32.824261,-86.206199,2018
AL,0103793429,161608,Weogufka-Marble Valley CCD,S,784578042,23669365,302.927,9.139,33.003347999999995,-86.33470200000001,2018
AL,0103990090,161609,Andalusia CCD,S,933651082,8170521,360.485,3.155,31.330759999999998,-86.527061,2018
AL,0103991062,165722,Falco CCD,S,530483088,6736300,204.821,2.6010000000000004,31.119584000000003,-86.587383,2018
AL,0103991134,165723,Florala CCD,S,403172625,3838825,155.666,1.482,31.054744,-86.353383,2018
AL,0103992448,165724,Opp CCD,S,441983032,4699834,170.65099999999998,1.815,31.257962,-86.263729,2018
AL,0103992781,165725,Rose Hill-Gantt CCD,S,359839193,10785910,138.935,4.164,31.442065000000003,-86.399891,2018
AL,0104190360,161610,Brantley CCD,S,479766676,2107941,185.239,0.8140000000000001,31.559343,-86.32230799999999,2018
AL,0104192007,165726,Luverne CCD,S,631875893,1652046,243.96900000000002,0.638,31.725665999999997,-86.315392,2018
AL,0104192529,165727,Petrey-Highland Home CCD,S,465310230,1628574,179.657,0.629,31.915034999999996,-86.301808,2018
AL,0104390180,165728,Baileyton-Joppa CCD,S,147092909,1250829,56.793,0.483,34.261634,-86.568311,2018
AL,0104390369,165729,Bremen CCD,S,382549818,16889345,147.703,6.521,33.973744,-86.967988,2018
AL,0104390774,165730,Crane Hill CCD,S,113647774,20918221,43.88,8.077,34.056948,-87.055155,2018
AL,0104390810,165731,Cullman CCD,S,205468495,4145753,79.332,1.601,34.157565999999996,-86.844813,2018
AL,0104391521,165732,Hanceville CCD,S,189017121,1290528,72.98,0.498,34.027674,-86.794844,2018
AL,0104391647,165733,Holly Pond CCD,S,140130134,1239492,54.105,0.479,34.156036,-86.636989,2018
AL,0104391773,165734,Jones Chapel CCD,S,215915498,1927096,83.365,0.7440000000000001,34.216179,-87.070728,2018
AL,0104391962,165735,Logan CCD,S,132823979,838976,51.284,0.324,34.158921,-86.957173,2018
AL,0104392934,165736,Simcoe CCD,S,154228958,1290252,59.548,0.498,34.236831,-86.730183,2018
AL,0104393330,165737,Vinemont CCD,S,166491361,1638367,64.283,0.633,34.278599,-86.8829,2018
AL,0104393420,165738,Welti CCD,S,55706972,993637,21.509,0.384,34.136377,-86.730364,2018
AL,0104590828,165739,Daleville CCD,S,157580786,0,60.842,0.0,31.267466,-85.739358,2018
AL,0104590936,165740,Echo CCD,S,247187650,310918,95.44,0.12,31.490004,-85.462515,2018
AL,0104591215,165741,Fort Rucker CCD,S,172469657,2801707,66.59100000000001,1.082,31.391472999999998,-85.72145400000001,2018
AL,0104592376,165742,Newton-Midland City CCD,S,259760238,104606,100.294,0.04,31.316176000000002,-85.525755,2018
AL,0104592466,165743,Ozark CCD,S,616246222,865709,237.93400000000003,0.33399999999999996,31.511957000000002,-85.632805,2018
AL,0104790486,165744,Carlowville CCD,S,506505792,5124513,195.563,1.979,32.128245,-87.049856,2018
AL,0104792457,165746,Orrville CCD,S,541139542,6763759,208.935,2.612,32.325669,-87.21918000000001,2018
AL,0104792808,165747,Safford CCD,S,394880972,5203479,152.464,2.009,32.312073,-87.362481,2018
AL,0104792844,165748,Sardis CCD,S,205066675,3449576,79.17699999999999,1.3319999999999999,32.271645,-87.022536,2018
AL,0104792880,161611,Selma CCD,S,679915601,12235023,262.517,4.724,32.492902,-87.00249699999999,2018
AL,0104792883,165745,Selmont-Tyler CCD,S,207411017,6348428,80.082,2.451,32.3291,-86.911108,2018
AL,0104990693,165749,Collinsville CCD,S,206883685,1019937,79.878,0.39399999999999996,34.232785,-85.90176600000001,2018
AL,0104990792,165750,Crossville CCD,S,151362798,244096,58.442,0.094,34.257182,-86.025488,2018
AL,0104991206,165751,Fort Payne CCD,S,417790244,1454809,161.31,0.562,34.409655,-85.73790799999999,2018
AL,0104991269,165752,Fyffe CCD,S,214250230,23139,82.72200000000001,0.009000000000000001,34.434084000000006,-85.968723,2018
AL,0104991323,165753,Geraldine CCD,S,214372498,101379,82.77,0.039,34.351836,-86.001665,2018
AL,0104991611,165754,Henagar CCD,S,114220592,98929,44.101000000000006,0.038,34.623217,-85.720686,2018
AL,0104991692,165755,Ider CCD,S,202886501,0,78.335,0.0,34.729341999999995,-85.636709,2018
AL,0104992655,165756,Rainsville-Sylvania CCD,S,245748884,516223,94.884,0.19899999999999998,34.514567,-85.81943199999999,2018
AL,0104993276,165757,Valley Head-Mentone CCD,S,245161047,663031,94.65700000000001,0.256,34.606839,-85.58654200000001,2018
AL,0105190855,165758,Deatsville CCD,S,164594800,12316882,63.55,4.756,32.640710999999996,-86.346148,2018
AL,0105190945,165759,Eclectic CCD,S,285118925,47191020,110.085,18.221,32.670784999999995,-85.995938,2018
AL,0105190972,165760,Elmore CCD,S,171173226,11079576,66.09,4.2780000000000005,32.505421000000005,-86.353258,2018
AL,0105193087,165761,Tallassee CCD,S,316857995,6843338,122.34,2.642,32.512019,-85.98588199999999,2018
AL,0105193141,165762,Titus CCD,S,280823004,9485393,108.426,3.662,32.694855,-86.222318,2018
AL,0105193456,165763,Wetumpka CCD,S,383201145,13041514,147.955,5.035,32.532051,-86.158568,2018
AL,0105390153,165764,Atmore CCD,S,294207903,2450113,113.594,0.946,31.053058,-87.460089,2018
AL,0105390378,165765,Brewton CCD,S,423512584,4768307,163.519,1.841,31.150859999999998,-87.129665,2018
AL,0105390927,161612,East Escambia CCD,S,944302704,9382428,364.597,3.623,31.099257,-86.91059,2018
AL,0105391125,165766,Flomaton CCD,S,331593912,1901256,128.029,0.7340000000000001,31.108627000000002,-87.279473,2018
AL,0105392034,165767,McCullough-Huxford CCD,S,454498016,2002844,175.483,0.773,31.186053,-87.46944599999999,2018
AL,0105590081,165768,Altoona CCD,S,205444748,671935,79.32300000000001,0.259,34.054488,-86.258455,2018
AL,0105591278,165769,Gadsden CCD,S,482208224,25763880,186.18200000000002,9.947000000000001,33.977508,-86.05922,2018
AL,0105591638,165770,Hokes Bluff CCD,S,205128609,4577028,79.20100000000001,1.767,34.018845,-85.825929,2018
AL,0105591980,165771,Lookout Mountain CCD,S,130921740,67724,50.549,0.026000000000000002,34.134046000000005,-85.919935,2018
AL,0105592268,165772,Mountainboro CCD,S,179636442,512252,69.358,0.198,34.145131,-86.12144,2018
AL,0105593213,165773,Turkeytown CCD,S,87404337,2927199,33.747,1.13,34.07266,-85.899194,2018
AL,0105593465,165774,Wills Valley CCD,S,95629504,48836,36.923,0.019,34.147015,-86.014951,2018
AL,0105790279,165775,Berry CCD,S,427697334,551762,165.135,0.213,33.647653999999996,-87.614354,2018
AL,0105791089,165776,Fayette CCD,S,518098507,3348782,200.03900000000002,1.2930000000000001,33.638038,-87.843653,2018
AL,0105792380,165777,Northeast Fayette CCD,S,311398981,71975,120.23200000000001,0.027999999999999997,33.817134,-87.643826,2018
AL,0105793495,165778,Winfield-Glen Allen CCD,S,368498468,358362,142.278,0.138,33.852068,-87.832808,2018
AL,0105992547,165779,Phil Campbell CCD,S,350969795,2775290,135.51,1.072,34.356077,-87.69722900000001,2018
AL,0105992691,165780,Red Bay CCD,S,337312069,6755226,130.237,2.608,34.490427000000004,-88.056527,2018
AL,0105992799,165781,Russellville CCD,S,681408504,18590208,263.093,7.178,34.489552,-87.750896,2018
AL,0105993312,165782,Vina CCD,S,272151038,4523257,105.07799999999999,1.746,34.382318,-88.006591,2018
AL,0106190252,165783,Bellwood-Coffee Springs CCD,S,218625842,1080994,84.412,0.41700000000000004,31.144468,-85.888933,2018
AL,0106191305,165784,Geneva CCD,S,145544015,1579657,56.195,0.61,31.050215,-85.909058,2018
AL,0106191530,165785,Hartford CCD,S,340436367,2888767,131.44299999999998,1.115,31.06965,-85.736863,2018
AL,0106192835,165786,Samson CCD,S,431926906,5102361,166.768,1.97,31.084782,-86.086175,2018
AL,0106192952,165787,Slocomb CCD,S,351364536,926384,135.66299999999998,0.358,31.106661,-85.573638,2018
AL,0106390342,165788,Boligee CCD,S,184645979,3124800,71.292,1.206,32.762093,-88.025256,2018
AL,0106391026,161613,Eutaw CCD,S,502436743,10136399,193.99200000000002,3.9139999999999997,32.8913,-87.87110799999999,2018
AL,0106391179,165789,Forkland-Tishabee CCD,S,386179042,14677895,149.105,5.667000000000001,32.657707,-87.904151,2018
AL,0106392088,161614,Mantua-West Greene CCD,S,602520297,5477047,232.63400000000001,2.115,32.958558000000004,-88.051005,2018
AL,0106591413,165790,Greensboro CCD,S,49222197,736848,19.005,0.284,32.690768,-87.595561,2018
AL,0106591414,165792,Greensboro Northeast CCD,S,287711704,1997945,111.086,0.7709999999999999,32.778171,-87.529818,2018
AL,0106591415,165794,Greensboro South CCD,S,178985988,6023121,69.107,2.326,32.637726,-87.664429,2018
AL,0106592259,165791,Moundville CCD,S,344305049,2850957,132.937,1.101,32.933114,-87.55181,2018
AL,0106592345,165793,Newbern CCD,S,293050366,5248887,113.147,2.0269999999999997,32.543453,-87.636996,2018
AL,0106592853,165795,Sawyerville CCD,S,266013942,8490135,102.709,3.278,32.735606,-87.741416,2018
