state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AL,0100195,Pike Road City School District,KG,12,85146878,778561,32.875,0.301,32.283188,-85.96568,2018
AZ,0400004,Clarkdale-Jerome Elementary District,PK,8,211351942,380983,81.60300000000001,0.147,34.748857,-112.11202800000001,2018
AZ,0400005,Salome Consolidated Elementary District,PK,8,1551915213,37430,599.198,0.013999999999999999,33.598773,-113.82446399999999,2018
AZ,0400022,Vernon Elementary District,KG,12,565402511,517748,218.303,0.2,34.215664000000004,-109.691538,2018
AZ,0400480,Aguila Elementary District,KG,12,724565972,0,279.756,0.0,33.816484,-113.23601399999998,2018
AZ,0400600,Alhambra Elementary District,PK,8,32858329,53403,12.687000000000001,0.021,33.508562,-112.136459,2018
AZ,0400630,Alpine Elementary District,KG,12,452275116,1413906,174.62400000000002,0.546,33.804241999999995,-109.24529299999999,2018
AZ,0400750,Apache Elementary District,KG,12,656526485,1250405,253.486,0.483,31.668567,-109.161432,2018
AZ,0400840,Arlington Elementary District,PK,8,1833717912,53344,708.002,0.021,33.335485999999996,-113.047754,2018
AZ,0400870,Ash Creek Elementary District,PK,8,530664911,232916,204.891,0.09,31.879056,-109.53971299999999,2018
AZ,0400960,Avondale Elementary District,PK,8,74321469,34133,28.695999999999998,0.013000000000000001,33.431745,-112.38656200000001,2018
AZ,0401050,Balsz Elementary District,PK,8,22638076,117711,8.741,0.045,33.461859999999994,-111.973578,2018
AZ,0401080,Beaver Creek Elementary District,KG,12,472224540,36349,182.327,0.013999999999999999,34.694722999999996,-111.673152,2018
AZ,0401230,Blue Elementary District,PK,12,1076522943,715952,415.648,0.276,33.510721999999994,-109.129127,2018
AZ,0401260,Bonita Elementary District,KG,12,1605422650,319501,619.857,0.12300000000000001,32.56834,-110.137147,2018
AZ,0401290,Bouse Elementary District,PK,8,1776099254,581303,685.7560000000001,0.22399999999999998,33.943023,-114.022029,2018
AZ,0401380,Buckeye Elementary District,PK,8,486508197,0,187.842,0.0,33.266534,-112.596065,2018
AZ,0401500,Bullhead City School District,PK,8,1162706220,51275350,448.923,19.798,35.362569,-114.54291699999999,2018
AZ,0401650,Canon Elementary District,KG,12,442869528,0,170.993,0.0,34.205508,-112.214545,2018
AZ,0401680,Cartwright Elementary District,PK,8,36423333,56987,14.062999999999999,0.022000000000000002,33.485719,-112.197374,2018
